ID|TIMESTAMP|HTTP_LINK|PROPERTY_ADDRESS|PROPERTY_TYPE_1|PRODUCT_TYPE|PRODUCT_AREA|PRODUCT_AREA_UNIT|PRODUCT_AREA_TYPE|DEVELOPER_NAME|BUILDING_NAME|PRICE|RATE|RATE_UNIT|LOCATION|CITY|PXVAL|PYVAL|OTHER_DETAILS|LF_PROJECT_ID|LF_CITY_ID|POSTED_SINCE|OTHER_CHARGES|DESCRIPTION|RATE_PSF|PRODUCT_AREA_SQFT|NHB_CITY_ID|NHB_LOCALITY_ID|LF_LOCATION_ID|PROPERTY_TYPE_ID|CLEANING_STATUS|R_GEOCODE_LOCALITY_PRED|R_GEOCODE_SUBLOCALITY_PRED|R_GEOCODE_LOCALITY_PRED_PROB|R_GEOCODE_SUBLOCALITY_PRED_PROB|GEOCODE_LEVEL_ID|GEOCODE_WORD_MATCHED|PXVAL_PRED|PYVAL_PRED|REGION_ID|SUB_REGION_ID|AREA_SIZE_TYPE_ID|PROPERTY_TYPE_2|AREA_SIZE_TYPE_ID1|AGENT_NAME|AGENT_TYPE|BATH|BUILDING_AGE_MIN|BUILDING_AGE_MAX|BALCONY|CAR_PARKING|WASHROOM|PROPERTY_ON_FLOOR|TOTAL_FLOOR|DIMENSIONS|FACING|FACING_ROAD_WIDTH|FURNISHING|READY_POSSESSION_BY|STATUS|RERA_ID|PRODUCT_AREA_SQFT_CARPET|CARPET_RATE_PSF|PROPERTY_TYPE_1_ID|PROPERTY_TYPE_2_ID|CREATED_DATETIME|BUILDING_NAME_CLEANED|NORM_BUILDING_NAME_CLEANED|R_GEOCODE_ADDRESS_TEXT|R_GEOCODE_ADDRESS_TEXT_CLEANED|R_GEOCODE_ADDRESS_CATEGORY|LOCATION_R_GEOCODE_ADDRESS_SIM|LOCATION_R_GEOCODE_ADDRESS_SIM_TYPE|R_GEOCODE_CENTROID_PXVAL|R_GEOCODE_CENTROID_PYVAL|R_GEOCODE_RADIUS|R_GEOCODE_RECORD_COUNT|LOC_CLEANED_EXTRACTED_FROM_BLDG_NAME_CLEANED|LF_PROJECT_ID_NEW|LF_PROPERTY_TYPE_1_ID|BUILDING_PROJECT_SIM|BUILDING_PROJECT_SIM_TYPE|PRJ_DIST_FROM_R_GEOCODE_CENTROID|FINAL_PXVAL|FINAL_PYVAL|FINAL_RADIUS|BUILDING_ID|LOCATION_ID
99Acres|2016-03-30 00:00:00|http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-worli-naka-south-mumbai-1550-sq-ft-spid-B24307143|Zhara Tower, Worli Naka|Residential|3 BHK, Residential Apartment|1550|Sq.Ft.|Built-up|Dealer : <a data-pid="19384422" class="hverU blkImp srpTplTrck" title="Raj Lifespaces , Mumbai South" target="_blank" href="/raj-lifespaces-mumbai-south-drid-19384422">Raj Lifespaces</a>|Zhara Tower|1.5 Lac||NA|Worli Naka|MMR|18.998133257142854|72.818289035714287|On Rent / 1 to 5 years old / Furnished / Multi-Storied Floor (out of 32)||1||||0|1550||||1|Price Outlier at City Level|Mumbai|Worli|0.99745601307522991|0.46917151227784532|||19.003886526687602|72.818006631074795|18||2|Apartment||||||||||||||||||||||||zhara tower|zhara tower|Worli Naka|Worli Naka|NEIGHBORHOOD|1|exact_location_match|18.998133257142854|72.818289035714287|0.40725428587066492|14|||||||18.998133257142854|72.818289035714287|0.40725428587066492||142419
99Acres|2016-03-30 00:00:00|http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-lodha-grandeur-prabhadevi-south-mumbai-1485-sq-ft-spid-A21985771|Lodha Grandeur, Prabhadevi|Residential|3 BHK, Residential Apartment|1485|Sq.Ft.|Built-up|Dealer : <a data-pid="155033" class="hverU blkImp srpTplTrck" title="Hariom Estate Consultants , Mumbai South" target="_blank" href="/hariom-estate-consultants-mumbai-south-drid-155033">Hariom Estate Consultants</a>|Lodha Grandeur|1.35 Lac|91|Sq.Ft.|Prabhadevi|MMR|19.014979500478912|72.828648661860441|On Rent / 10+ years old / Semifurnished / 8th Floor (out of 28)|1629|1||||91|1485||||1||Mumbai|Prabhadevi|0.99784907250928434|0.97225346990521766|||19.014920469478302|72.828641207443795|18||2|Apartment||||||||||||||||||||||||lodha grandeur|lodha grandeur|Prabhadevi|Prabhadevi|SUBLOCALITY_LEVEL_1|1|exact_location_match|19.014979500478912|72.828648661860441|1.2212875036584954|578|||||||19.014979500478912|72.828648661860441|1.2212875036584954||97389
99Acres|2016-03-30 00:00:00|http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-casa-imperial-juhu-mumbai-south-west-1500-sq-ft-spid-F24266249|Casa Imperial, Juhu|Residential|3 BHK, Residential Apartment|1500|Sq.Ft.|Super built-up|Dealer : <a data-pid="970328" class="hverU blkImp srpTplTrck" title="A1 Properties , Mumbai South West" target="_blank" href="/a1-properties-mumbai-south-west-drid-970328">A1 Properties</a>|Casa Imperial|1.6 Lac|107|Sq.Ft.|Juhu|MMR|19.105555492147435|72.830116764262812|On Rent / 1 to 5 years old / Furnished / 6th Floor (out of 12)||1||||107|1500||||1||Mumbai|Juhu|0.99376318942458697|0.76830863770377322|||19.105697265812601|72.830188915052105|18||2|Apartment||||||||||||||||||||||||casa imperial|casa imperial|Juhu|Juhu|SUBLOCALITY_LEVEL_1|1|exact_location_match|19.105555492147435|72.830116764262812|-0.5|1248|||||||19.105555492147435|72.830116764262812|-0.5||52276
99Acres|2016-03-30 00:00:00|http://www.99acres.com/5-bhk-bedroom-apartment-flat-for-rent-in-ashok-garden-sewri-mumbai-harbour-2810-sq-ft-spid-Z24486481|Ashok Garden, Sewri|Residential|5 BHK, Residential Apartment|2810|Sq.Ft.|Super built-up|Dealer : <a data-pid="199804" class="hverU blkImp srpTplTrck" title="A1Estate India , Mumbai Harbour" target="_blank" href="/a1estate-india-mumbai-south-drid-199804">A1Estate India</a>|Ashok Garden|2.7 Lac|97|Sq.Ft.|Sewri|MMR|18.992027690982329|72.851869933280113|On Rent / 5 to 10 years old / Semifurnished / 19th Floor (out of 23)||1||||97|2810||||1||Mumbai|Parel|0.99743588977259767|0.51433579110180172|||18.997870019364498|72.841941526987199|18||2|Apartment||||||||||||||||||||||||ashok garden|ashok garden|Sewri|Sewri|SUBLOCALITY_LEVEL_1|1|exact_location_match|18.992027690982329|72.851869933280113|1.8627055867594831|406|||||||18.992027690982329|72.851869933280113|1.8627055867594831||118170
99Acres|2016-03-30 00:00:00|http://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-akash-ganga-breach-candy-south-mumbai-1400-sq-ft-r1-spid-Y17582321|Akash Ganga, Breach Candy|Residential|2 BHK, Residential Apartment|1400|Sq.Ft.|Built-up|Dealer : <a data-pid="12416243" class="hverU blkImp srpTplTrck" title="Panchvati Properties , Mumbai South" target="_blank" href="/panchvati-properties-mumbai-south-drid-12416243">Panchvati Properties</a>|Akash Ganga|1.5 Lac|108|Sq.Ft.|Breach Candy|MMR|18.970381796097559|72.805059195609758|On Rent / 10+ years old / Semifurnished / 9th Floor (out of 19)||1||||108|1400||||1||Mumbai|Cumballa Hill|0.99745377393705148|9.2301926723692862E-2|||18.969623352674802|72.806068176524093|18||2|Apartment||||||||||||||||||||||||akash ganga|akash ganga|Breach Candy|Breach Candy|SUBLOCALITY_LEVEL_2|1|exact_location_match|18.970381796097559|72.805059195609758|1.1096877429820882|205|||||||18.970381796097559|72.805059195609758|1.1096877429820882||20980
99Acres|2016-03-30 00:00:00|http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-acme-complex-malad-west-mumbai-andheri-dahisar-1500-sq-ft-spid-S24230401|Acme Complex, Malad (West)|Residential|3 BHK, Residential Apartment|1500|Sq.Ft.|Built-up|Owner : Anoop Zutshi|Acme Complex|Rent on Request||NA|Malad (West)|MMR|19.18663227394477|72.832384332105448|On Rent / 5 to 10 years old / Unfurnished / 1st Floor (out of 7)||1||||0|1500||||1|Price Outlier at City Level|Mumbai|Malad West|0.99795681985183682|0.97147488288748118|||19.186713474413001|72.831813124313399|18||2|Apartment||||||||||||||||||||||||acme building|acme building|Malad West|Malad West|SUBLOCALITY_LEVEL_1|1|exact_location_match|19.18663227394477|72.832384332105448|-0.5|2554|building||||||19.18663227394477|72.832384332105448|-0.5||68904
99Acres|2016-03-30 00:00:00|http://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-mittal-phoenix-towers-lower-parel-south-mumbai-1200-sq-ft-spid-I24114577|Mittal Phoenix Towers, Lower Parel|Residential|2 BHK, Residential Apartment|1200|Sq.Ft.|Built-up|Dealer : <a data-pid="907798" class="hverU blkImp srpTplTrck" title="Risheeka Consultancy , Mumbai South" target="_blank" href="/risheeka-consultancy-mumbai-south-drid-907798">Risheeka Consultancy</a>|Mittal Phoenix Towers|1.2 Lac|100|Sq.Ft.|Lower Parel|MMR|||On Rent / 5 to 10 years old / Furnished / 20th Floor (out of 24)||1||||100|1200||||1||Mumbai|Lower Parel|0.99771352462253138|0.97649018869206528|||18.9964157783422|72.827661522248206|18||2|Apartment||||||||||||||||||||||||mittal phoenix tower|mital phoenix tower|Lower Parel|Lower Parel|SUBLOCALITY_LEVEL_1|1|exact_location_match|18.99651019459035|72.827780241395757|2.4414311420989221|716|||||||||||65807
99Acres|2016-03-30 00:00:00|http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-altamount-road-south-mumbai-2500-sq-ft-r3-spid-K17727937|On Request, Altamount Road|Residential|3 BHK, Residential Apartment|2500|Sq.Ft.|Built-up|Dealer : <a data-pid="12416243" class="hverU blkImp srpTplTrck" title="Panchvati Properties , Mumbai South" target="_blank" href="/panchvati-properties-mumbai-south-drid-12416243">Panchvati Properties</a>|On Request|2.5 Lac|100|Sq.Ft.|Altamount Road|MMR|18.967918236842106|72.810111299999988|On Rent / 10+ years old / Furnished / 7th Floor (out of 10)||1||||100|2500||||1||Mumbai|Tardeo|0.97991673702097604|7.7639064147825912E-2|||18.9682054441137|72.812557292190903|18||2|Apartment||||||||||||||||||||||||||Altamount Road|Altamount Road|ROUTE|1|exact_location_match|18.967918236842106|72.810111299999988|0.34621812451184514|19|||||||18.967918236842106|72.810111299999988|0.34621812451184514||5583
99Acres|2016-03-30 00:00:00|http://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-rent-in-manpada-mumbai-thane-3500-sq-ft-spid-O23863896|Manpada|Residential|4 Bedroom, Independent House/Villa|3500|Sq.Ft.|Built-up|Dealer : <a data-pid="17721927" class="hverU blkImp srpTplTrck" title="CHOICE PROPERTIES , Mumbai Thane" target="_blank" href="/choice-properties-mumbai-thane-drid-17721927">CHOICE PROPERTIES</a>||2.25 Lac|65|Sq.Ft.|Manpada|MMR|19.229820799999999|72.973316370129879|On Rent / 5 to 10 years old / Furnished / Corner Plot||1||||65|3500||||||Thane|Thane West|0.98319462215829978|0.95236299688500003|||19.233217503999999|72.969288054499998|55||2|Independent House/Villa||||||||||||||||||||||||||Manpada|Manpada|SUBLOCALITY_LEVEL_2|1|exact_location_match|19.229820799999999|72.973316370129879|1.316296020539689|77|||||||19.229820799999999|72.973316370129879|1.316296020539689||70646
99Acres|2016-03-30 00:00:00|http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-wadhwa-golden-peak-khar-west-mumbai-south-west-1800-sq-ft-r1-spid-T22309867|Wadhwa Golden Peak, Khar West|Residential|3 BHK, Residential Apartment|1800|Sq.Ft.|Built-up|Owner : Chirag|Wadhwa Golden Peak|1.4 Lac|78|Sq.Ft.|Khar West|MMR|19.069716455949173|72.834018819735476|On Rent / 1 to 5 years old / Furnished / 1st Floor (out of 10)||1||||78|1800||||1||Mumbai|Khar West|0.99729680245499408|0.9790008164628522|||19.069571208499099|72.834052574241696|18||2|Apartment||||||||||||||||||||||||wadhwa golden peak|wadhwa golden peak|Khar West|Khar West|SUBLOCALITY_LEVEL_1|1|exact_location_match|19.069716455949173|72.834018819735476|-0.5|1160|||||||19.069716455949173|72.834018819735476|-0.5||58619
